rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at,report_group
672,Razoavel,4,Confidencial,Desenvolvedor | Júnior,<https://www.vagas.com.br/vagas/v2813357/desenvolvedor-junior>,browser_mcp,100% Home Office,Brazil-friendly remote,brazil_friendly,Junior,,,junior
673,Razoavel,3,Inspirali,Desenvolvedor Full Stack,<https://www.vagas.com.br/vagas/v2810179/desenvolvedor-full-stack>,browser_mcp,100% Home Office,Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
674,Razoavel,0,Empresa não informada,Analista Devops Junior,<https://www.infojobs.com.br/vaga-de-analista-devops-junior-em-sao-paulo__11471859.aspx>,browser_mcp,"-sao-paulo__11471859.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,,,devops
675,Razoavel,0,Empresa não informada,Desenvolvedor Fluig Sênior,<https://www.infojobs.com.br/vaga-de-desenvolvedor-fluig-senior-em-rio-janeiro__11523045.aspx>,browser_mcp,"-rio-janeiro__11523045.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,,,senior
676,Razoavel,0,Empresa não informada,Analista De Infraestrutura TI PL,<https://www.infojobs.com.br/vaga-de-analista-infraestrutura-ti-pl-em-sao-paulo__11521686.aspx>,browser_mcp,"-sao-paulo__11521686.aspx"">",Brazil-friendly remote,brazil_friendly,Unspecified,,,devops
677,Razoavel,0,Empresa não informada,Desenvolvedor(A) Full Stack,<https://www.infojobs.com.br/vaga-de-desenvolvedora-full-stack-em-sao-paulo__11622702.aspx>,browser_mcp,"-sao-paulo__11622702.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
678,Razoavel,0,Empresa não informada,Analista De Qualidade Pleno,<https://www.infojobs.com.br/vaga-de-analista-qualidade-pleno-em-minas-gerais__11589538.aspx>,browser_mcp,"-minas-gerais__11589538.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
679,Razoavel,0,Hospitalidade e Gastronomia,Arquiteto (a) | Corporativo Fasano,<https://www.vagas.com.br/vagas/v2799813/arquiteto-a-corporativo-fasano>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Architect,,,arq
680,Razoavel,0,Empresa não informada,Analista De Qualidade - ABCDM,<https://www.infojobs.com.br/vaga-de-analista-qualidade-abcdm-em-sao-paulo__11582039.aspx>,browser_mcp,"-sao-paulo__11582039.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
681,Razoavel,0,Empresa não informada,Desenvolvedor Frontend Sênior,<https://www.infojobs.com.br/vaga-de-desenvolvedor-frontend-senior-em-sao-paulo__11627057.aspx>,browser_mcp,"-sao-paulo__11627057.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,frontend,,senior
682,Razoavel,0,Empresa não informada,Desenvolvedor Power Automate Desktop Pleno,<https://www.infojobs.com.br/vaga-de-desenvolvedor-power-automate-desktop-pleno-em-sao-paulo__11639308.aspx>,browser_mcp,"-sao-paulo__11639308.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
683,Razoavel,2,Empresa não informada,Tech Lead,<https://www.infojobs.com.br/vaga-de-tech-lead-em-minas-gerais__11556753.aspx>,browser_mcp,"-minas-gerais__11556753.aspx"">",Brazil-friendly remote,brazil_friendly,Lead,,,senior
684,Razoavel,0,Empresa não informada,WEG - Desenvolvedor (A) C++,<https://www.infojobs.com.br/vaga-de-weg-desenvolvedor-c-em-santa-catarina__11590377.aspx>,browser_mcp,"-santa-catarina__11590377.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
685,Razoavel,0,Empresa não informada,Desenvolvedor ADVPL Pleno,<https://www.infojobs.com.br/vaga-de-desenvolvedor-advpl-pleno-em-sao-paulo__11595923.aspx>,browser_mcp,"-sao-paulo__11595923.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
686,Razoavel,0,Empresa não informada,DESENVOLVEDOR SR - JAVA,<https://www.infojobs.com.br/vaga-de-desenvolvedor-sr-java-em-minas-gerais__11076372.aspx>,browser_mcp,"-minas-gerais__11076372.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,java,,senior
